Total Jump,Score,Level,Time Played,Final Speed,Theme
4,2,1,7.4,5,Rescuing G
0,0,1,1.49,5,Rescuing G
4,4,1,11.75,5,Escaping F
2,2,1,6.72,5,Escaping T
2,1,1,4.11,5,Escaping T
1,0,1,1.5,5,Escaping T
8,7,1,19.83,5,Escaping T
0,0,1,1.49,5,Escaping T
4,3,1,10.06,5,Rescuing G
2,1,1,4.82,5,Rescuing G
2,1,1,4.11,5,Rescuing G
5,4,1,12.64,5,Rescuing G
2,1,1,4.11,5,Escaping T
12,12,2,31.79,6,Escaping T
2,1,1,4.06,5,Escaping F
1,0,1,1.88,5,Escaping F
3,2,1,6.62,5,Escaping F
4,4,1,11.95,5,Escaping T
0,0,1,1.49,5,Escaping T
2,1,1,4.82,5,Rescuing G
2,1,1,4.77,5,Rescuing G
11,10,1,28.37,5,Rescuing G
4,4,1,11.75,5,Escaping F
2,1,1,4.8,5,Rescuing G
2,1,1,4.74,5,Rescuing G
3,2,1,6.72,5,Rescuing G
1,0,1,1.49,5,Rescuing G
3,2,1,7.13,5,Rescuing G
3,3,1,9.37,5,Rescuing G
1,0,1,2.24,5,Rescuing G
1,0,1,2.24,5,Rescuing G
4,3,1,10.07,5,Rescuing G
12,11,2,30.36,6,Rescuing G
7,6,1,17.92,5,Escaping T
2,1,1,4.11,5,Escaping T
20,19,2,46.14,6,Escaping T
0,0,1,1.49,5,Escaping T
2,0,1,2.07,5,Rescuing G
1,0,1,1.49,5,Rescuing G
1,0,1,1.49,5,Rescuing G
2,1,1,4.82,5,Rescuing G
3,2,1,6.72,5,Rescuing G
4,3,1,9.19,5,Escaping F
14,13,2,33.57,6,Escaping F
0,0,1,1.53,5,Rescuing G
1,0,1,1.49,5,Rescuing G
4,3,1,9.33,5,Rescuing G
5,4,1,11.95,5,Rescuing G
1,0,1,1.49,5,Rescuing G
2,1,1,4.1,5,Escaping T
11,6,1,17.91,5,Escaping T
2,1,1,4.1,5,Escaping T
1,0,1,2.2,5,Rescuing G
1,0,1,1.49,5,Rescuing G
1,0,1,2.22,5,Rescuing G
0,0,1,1.49,5,Rescuing G
11,10,1,27.76,5,Rescuing G
33,32,4,66.47,8,Escaping T
1,0,1,1.5,5,Escaping F
0,0,1,1.52,5,Escaping F
7,2,1,6.63,5,Escaping F
1,0,1,2.02,5,Escaping F
1,0,1,2.11,5,Escaping F
16,15,2,37.34,6,Escaping F
3,2,1,6.71,5,Escaping T
0,0,1,1.49,5,Escaping F
1,0,1,2.17,5,Escaping F
1,1,1,4.1,5,Escaping T
3,3,1,9.25,5,Rescuing G
44,43,5,78.64,9,Rescuing G
0,0,1,1.49,5,Escaping F
1,0,1,2.12,5,Escaping F
2,2,1,6.72,5,Escaping T
3,3,1,9.27,5,Rescuing G
4,4,1,11.75,5,Escaping F
1,1,1,4.05,5,Escaping F
22,21,3,37.56,9,Rescuing G
49,47,5,82.95,9,Rescuing G
0,0,1,0.95,9,Rescuing G
1,0,1,1.21,9,Rescuing G
79,78,8,120.49,8.5,Rescuing G
16,15,2,38.21,5.5,Escaping T
12,11,2,29.92,5.5,Escaping T
2,1,1,4.82,5,Escaping T
20,19,2,45.31,5.5,Escaping F
5,5,1,14.32,5,Escaping F
